SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
King Cobra,"Summers N Smith, Beverly Francis, Bay King",Cobra Marine Cont Co,Tug,1887,"Philadelphia, PA",1/3/1979,1979,1,3,Atlantic City E,,,Lost at sea in storm,Steel,,66.6,16,7.2,52,26,"New Haven, CT","Greenwich, CT","Camden, NJ",Michael Cowan,4,,4,,,None,,Y,Y,Y,#116141; Found by divers 1981
Troy,,American Dredging Co,Tug steam,1956,"Cohoes, NY",12/7/1979,1979,12,7,Absecon Inlet,,,Sank while towing,Steel,,83.7,23,10.6,141,96,"Philadelphia, PA",,,,,,,,,,,Y,Y,N,#271730; Towing a dredge
Aristocrat,,Clark W. Stockbridge,Trawler,1968,"Bayou Le Batre, AL",1/20/1978,1978,1,20,"Point Pleasant, NJ",,,Grounded,,US,76.7,22,11.5,129,87,,"Manasquan Inlet, NJ","Manasquan Inlet, NJ",Clark Stockbridge,,4,0,$0,,"1,000 lbs. Fluke",,N,N,Y,#514963 Refloated
Elizabeth R,,Atlantic Deep Sea Produce,Fishing boat,1945,"Thomaston, ME",12/19/1978,1978,12,19,Beach Haven Inlet S 25 mi,,,Leaking,Wood,US,92.7,21.4,10.8,130,88,"Philadelphia, PA",,Fishing service,,,,,,,,USCG Barnegat Light,,,N,#248124
Interport,,Interport Pilots Assoc,Pilot boat,,"Goldsboro, ME",1/20/1978,1978,1,20,Sandy Hook E,,,Hit by rogue wave,Fiberglass,US,37,12.2,3.2,,,,,Pilot service,,3,,3,,,,,N,N,Y,Refloated
Linda Snow II,,Bordan Inc,Fishing boat diesel,1962,"St Augustine, FL",1/16/1978,1978,1,16,Great Egg Harbor Inlet  E 3 mi,39.23333,-74.56666,Capsized; sank,Wood,US,65.9,18.2,8.3,74,39,"Wildwood, NJ","Wildwood, NJ",Fishing service,Henry Joseph Matthews,3,,0,,,Clams,,A,Y,N,#288879; Total loss
Rattler,,Jon B Kirk,Yacht motor,1975,"Sturgeon Bay, WI",9/9/1978,1978,9,9,Barnegat Light,,,Stranded,Aluminum,US,46.4,13.3,11.3,34,31,"Houston, TX",,,,,,,,,,,Y,Y,N ,#571023; Total loss
SIDS,,Advanced Electronic Dev Co,Fishing boat,1974,"Newington, NH",1/17/1978,1978,1,17,Corsons Inlet E 2 mi,,,Foundered in heavy seas,Fiberglass,US,35,,,,,"Saybrook, CT","Atlantic City, NJ","New Orleans, LA",Stephen Toolis,2,,2,,,,,,,N,In tow of USCG
Counter Point,,Gene DeMattes,Yacht motor,1972,"Holland, MI",7/3/1976,1976,7,3,Strathmere E 8 mi,,,Burned,,,68,17.2,8.6,67,54,"West Palm Beach, FL",,,,,,,,,,,,,N,#595996
Holly F Murphy,,Holly F Murphy Inc,Motor vessel,1967,"Beaufort, NC",6/12/1976,1976,6,12,Cape May E 80 mi,,,Burned,Wood,,65.6,20.7,8.4,74,50,"Beaufort, NC",,Fishing service,,,,,,,,,,,N,#509578
Just Us,,Jocam Inc,Yacht motor,1933,"Bayonne, NJ",10/9/1976,1976,10,9,Brigantine Beach E 2 mi,,,Foundered,Wood,US,56.5,14.5,6.5,43,35,"New York, NY",,,,,,,"$2,800",,,,,,N,#232181
Lana Carol,,Gulf Boat Marine,Scalloper,1973,"Pascagoula, MS",10/31/1976,1976,10,31,Manasquan E 10 mi,39.99194,-73.87444,Foundered,Steel,US,71.7,21,11.1,104,70,"Galvaston, TX","Manasquan, NJ",Fishing service,George Jones,4,,0,,,Scallops,,A,Y,Y,#546108; Sank; Total loss
Patrice McAllister,,McAllister Brothers Inc,Tug,1919,"New Orleans, LA",10/1/1976,1976,10,1,Brigantine Inlet E 5 mi,,,Foundered while in tow,,,93.9,24.04,12,196,133,"Wilmington, DE","Philadelphia, PA","New York, NY",,,,,,,,,,,N,#219162
The Ram,Marilyn; Ark,Joel Kobrin,Yacht motor,1956,"Keyport, NJ",8/26/1976,1976,8,26,Sandy Hook E 2 mi,,,Burned,Wood,,31.1,9.8,5,10,8,"New York, NY",,,,,,,,,,,,,N,#290773
Trinity,,John S Denworth,Yacht motor,1966,"Port Clinton, OH",9/24/1976,1976,9,24,Beach Haven Inlet E 12 mi,,,Foundered,Wood,,41.4,12.9,6.9,24,20,"Philadelphia, PA",,,,,,,,,,,,,N,#507011
Chrissy James,,James Matthews,Dragger,1965,"Supply, NC",3/20/1975,1975,3,20,Manasquan Inlet South Jetty,,,Lost power; Stranded,,,49.9,16.9,7,34,23,"New York, NY",,Fishing service,James Matthews,2,,0,"$45,000",,None,,Y,Y,Y,#501963; Total loss
Corinthos,,N J Goulandris,Tanker,1963,"Kure, Japan",1/31/1975,1975,1,31,"Marcus Hook, PA",,,Collision w/ Edgar M Queeny,Steel,Liberia,754,106,,10705,,"Monrovia, Liberia",Algeria,"Marcus Hook, PA",Gostas Marinos,,,26,,,17 mil gal crude oil,,N,N,N,#6400915; Refloated 1 year later
Edgar M Queeny,OMI Star,Bankers Trust of NY,Tanker,1970,"Sparrows Point, MD",1/31/1975,1975,1,31,"Marcus Hook, PA",,,Collision w/ Corinthos,Steel,US,660,90,36.4,19046,,"New York, NY",,,Fay Kellogg,,,0,,,Phenol,,N,N,N,#7022124; Caused the collision
Merle C Soffron,,Merle C Soffron Inc,Motor vessel,1969,"St Augustine, FL",7/18/1975,1975,7,18,Cape May SE,,,Burned,Wood,US,75.4,22.2,9.7,122,83,"Philadelphia, PA",,Fishing service,,,,,,,,,,,N,#523587
Olympic Dale,,Greenville Trans. Corp,Tanker,1954,"Kiel, Germany ",7/12/1975,1975,7,12,Cape May SE 12.2 mi,,,Stranded,,Liberia,590.6,74,31.7,13713,,,,Delaware River,,,,,,,"200,000 bbls diesel fuel",,N,N,N,Refloated
Scoundrel,,John B Schwartz,Yacht gas,1972,"Keysport, NY",8/8/1975,1975,8,8,Island Beach S .5 m,,,Burned,Wood,US,35,12.5,4.5,13,10,"New York, NY",,,,,,,,,,,,,N,#538981
Spartan Lady,Sologne,Compania Marittina Lacona,Tanker,1954,"Schiedam, Netherlands",4/3/1975,1975,4,3,Cape May E 250 mi,39.03333,-71.00000,Foundered in storm,Steel,Liberia,557.8,73.1,30.6,12689,,Liberia,,"New York, NY",,36,,1,,,,,F,Y,Y,Total loss
Aeolus,,Neptune Maritime Co,Tanker,1965,"Sunderland, England",8/24/1974,1974,8,24,Ambrose Light E 2 mi,,,Grounded,Steel,Liberia,800,,,35324,,"Moravia, Liberia","St Croix, USVI","New York, NY",Stamatioa Stogiannos,,,,,,66075 ton crude oil,,N,N,Y,Refloated
Carissa II,,Roger Jackson,Cabin cruiser,,,5/30/1974,1974,5,30,Barnegat Inlet E 19 mi,,,Broken cooling hose,,,34,,,,,,,,,,,,,,,,Y,Y,N,Sunk
Pogo,,,Boston Whaler,,,~1974,1974,,,Barnegat Inlet,,,Capsized in heavy seas,Fiberglass,US,22,,,,,,,,,,,,,,,,Y,Y,N,
Sadie & Edgar,,,Schooner,,,1/29/1974,1974,1,29,Brigantine Little Beach E .5 mi,,,Foundered,,,61,,,,,,"Essex, CT","Atlantic City, NJ",Cyril LaBrecque,6,,2,,,,,Y,Y,N,Total Loss
James A,,Kiewit Peter Sons Co,Motor vessel,1959,"Toledo, OH",4/20/1973,1973,4,20,Barnegat Lightship N,,,Foundered,Steel,US,34.9,12,4.7,13,8,"Cleveland, OH",,Misc service,,,,,,,,,,,N,#280037
Walsh,,James A Walsh,Fishing boat,1924,,6/25/1973,1973,6,25,Little Egg Harbor Inlet,,,Collision,Wood,,58.4,16,8,41,22,"Philadelphia, PA",,Fishing service,Victor J Lubiejewski,3,,0,,,,,Y,Y,N,#223530; Total loss
Amagagoc,,,Morgan 41',,,5/20/1972,1972,5,20,Brigantine,,,Stranded,,,,,,,,,,,,,,,,,,,N,N,N,"Refloated; See ""Five Sloops"""
Constellation (1972),,Bernard C Elliot,Yacht sail,,,5/29/1972,1972,5,29,Cape May SE 50 mi,,,In distress; lost radio,,,,,,,,,"Cape May, NJ",Bermuda,Bernard C Elliott,5,,1,,,,,N,N,N,Towed in by USCG
Cora Jean Snow,,Borden Co,Motor vessel,1953,"St Augustine, FL",1/21/1972,1972,1,21,Hereford Inlet,,,Foundered,Wood,US,61.6,18.4,8.5,64,30,"Philadelphia, PA","Philadelphia, PA",Fishing service,,,,,,,,,Y,Y,Y,#266920; Total loss
Defiance,,"James W Allen, SR",Yacht gas,1924,,8/8/1972,1972,8,8,Wildwood Crest E 8 mi,,,Foundered,Wood,,35.7,11.8,4.1,9,,"Philadelphia, PA",,,,,,,,,,,,,N,#223853
Five Sloops (not real name),,,,,,5/20/1972,1972,5,20,Brigantine,,,3 In distress/ 2 stranded,,"""Galaxy""","""Kolindi II""","""Windview""","""Kappy""","""Amagagoc""",,,,,,,,,,,,,,,N,Each ship also has own file
Galaxy (1972),,,Yacht Columbia 43',,,5/20/1972,1972,5,20,Brigantine,,,In distress,,,,,,,,,,,,,,0,,,,,N,N,N,Towed in after distress call
Gra-Cee II,,Louis Puskas Jr,Fishing boat,1963,"West Creek, NJ",1972,1972,,,NJ coast E 50 mi,,,Burned; Sank,wood,US,43.8,14.2,5.1,23,17,"Philadelphia, PA","Barnegat Light, NJ","Barnegat Light, NJ",Louis Puskas Jr,2,,0,,,Fish,,Y,Y,N,#290554; Total Loss
Kolindi  II,,,Sloop,,,5/20/1972,1972,5,20,Brigantine,,,In distress,,,41,,,,,,,,,,,,,,,,N,N,N,"Morgan yacht; See ""Five Sloops"""
Nancy Jane,,"Boat Nancy Jane, Inc",Motor vessel diesel,1950,"South Bristol, ME",2/6/1972,1972,2,6,Cape May SE 60 mi,38.26212,-74.19359,,,,,,,,,,,,,,,,,,,,F,Y,N,#260632; Total loss
S 21,,,Motor vessel diesel,,,1972,1972,,,"Portland, ME E",43.61472,-69.99000,,,,,,,,,,,,,,,,,,,,F,Y,N,Sunk for experimental purposes
Windview,,,Morgan 41',,,5/20/1972,1972,5,20,Brigantine,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
Carol and Gail,,Carol and Gail Inc,Motor vessel diesel,1942,"Noank, CT",10/18/1971,1971,10,18,Point Pleasant Beach,,,Foundered,Wood,,89.2,21.3,9,140,70,"Philadelphia, PA",,,,,,,,,,,,,N,#254798
Citation,,J Stephan Crow,Yacht sail,,,5/6/1971,1971,5,6,Brigantine Beach,,,Stranded,,,54,,,,,,,,J Stephan Crow,7,,0,"$175,000",,,,,,N,
Jefferson Davis,,,Freighter,,,12/23/1971,1971,12,23,Barnegat Light E 26 mi,,,Collision w/ Russian trawler,,US,600,,,,,,"New York, NY",Middle East,Harold Rabinowitz,,,,,,General cargo,,,,N,Partial damage
Katleen Riggin,,William H Riggin,Motor vessel,1929,"Leesburg, NJ",3/21/1971,1971,3,21,Wildwood SE 3 mi,,,Burned,Wood,,80.7,22.1,6.4,66,55,"Philadelphia, PA",,,,2,,,,,,,,,N,#228197
Shanty Queen,,,Trawler,,,11/26/1971,1971,11,26,Point Pleasant Beach,,,Stranded,,,,,,,,,,,,3,,0,,,,,,,Y,
Soubrette,,Charles Arnold,Houseboat,,,8/1/1971,1971,8,1,Atlantic City E Rhode Is Ave,,,Foundered,,,42,,,24,,,,,Charles Arnold,6,,0,,,,USCG Atlantic City,Y,Y,N,#531718; Total loss
St Anna Maria,,Herman Oldenbloom,Motor vessel diesel,1946,"Whitestone, NY",8/13/1971,1971,8,13,"Manasquan, NJ SE 70 mi",,,Foundered,,,60.5,16.3,7.8,47,30,"Philadelphia, PA",,Fishing service,,,,,,,,,Y,Y,N,#249282; Total loss
Alamo,,Eldon S Poole,Yacht motor,1949,"Millville, NJ",8/7/1970,1970,8,7,Cape May E 30 mi,,,Capsized while in tow,Wood,US,35.1,11.4,4.7,13,11,"Philadelphia, PA",,,C W Bailey,4,0,2,,,,,Y,Y,N,#264192; Sank while in tow by USCG
Sea Starn,K M Alligood,Capt Starns Fishing Trawler Reastaurant,Fishing boat,1943,"Point Judith, RI",7/16/1970,1970,7,16,Atlantic City E 200 mi,,,Foundered,Wood,US,41,14,5.3,20,13,"Philadelphia, PA","Atlantic City, NJ",Fishing service,Tom Ellis,3,,0,,,,,Y,Y,N,"#241433; Sank; Crew rescued by ""Sonette"""
Sewanhaka,,John Roberts,Clam boat,1910,"Lobec, ME",1/26/1970,1970,1,26,Atlantic City SE 6 mi,,,Capsized,Wood,,74,20.5,8.5,73,46,"Philadelphia, PA","Wildwood, NJ","Wildwood, NJ",John Roberts,5,,2,,,,Atlantic City,Y,Y,N,#207463; Total loss
Taku,,Harbor Towing Corp,Tug,1943,"Kewaunee, WI",6/13/1970,1970,6,13,Island Beach E 1 mi,,,Foundered,Steel,,43,12.9,5.4,19,13,"New York, NY",,,,2,,0,,,,USCG Barnegat Light,Y,Y,N ,Sank
The Office,,,Sloop - Yacht,,,5/30/1970,1970,5,30,Cape May Point,,,Stranded,,,35,,,,,,,,,7,,0,,,,,Y,Y,Y,Total loss
Amberjack III,,Vincent Ardolino,Fishing boat,1946,"Bayonne, NJ",7/13/1969,1969,7,13,Sandy Hook,,,"Collision w/ ""Tullahoma""",Wood,US,76,17.7,4.4,12,8,"New York, NY","Sheepshead Bay, NY",Fishing trip,Fred Ardolino,48,,1,,,,,Y,Y,N,#251229; Sank
Atlantic Seal,,,Oil Exploration Vessel,,,7/8/1969,1969,7,8,Atlantic City,,,Fire,,,,,,,,,,,,,,,,,,,Y,Y,N,Welder torch; Burned 3 hours
Eastern 2,Sewanee Seam; Newton,Midland Enterprises Inc,Barge - Built as liberty ship,1945,"New Orleans, LA",12/25/1969,1969,12,25,"Spring Lake, NJ Ludlow Ave",40.15954,-74.01818,Stranded after breaking tow,Steel,US,422.8,57.04,24.5,6428,6034,"Wilmington, DE","Hampton Roads, VA","New York, NY",,0,,0,,"$125,000",Coal,,A,Y,Y,"#247414; Broke in two; Towed by ""Betty Moran"""
Quest,,,Clam boat,1920,"Thomaston, ME",1969,1969,,,"Wildwood, NJ",,,Foundered,Wood,US,62.8,16.4,7.9,41,26,"Philadelphia, PA",,Fishing service,,,,,,,,,Y,Y,Y,#220426; Total loss; Raised in 1976
Tullahoma,Llano,Charles Kurz & Co,Oil Tanker,1944,"Chester, PA",7/13/1969,1969,7,13,Sandy Hook,,,"Collision w/ ""Amberjack III""",Steel,US,580,63, ,10297, ,"Wilmington, DE","New York, NY","New Orleans, LA",Adam Gehlmeyer, ,,0,,,, ,Y,Y,N,#2246662; No damage
Wave Maker III,,,Motor vessel diesel,1929,,10/18/1969,1969,10,18,Holgate E 6 mi,,,Foundered,,,,,,78,,,,,,,,,,,,,,,N,#254481
Coast Guard Patrol Boat,,U S Coast Guard,Patrol boat,,,1968,1968,,,"Wildwood, NJ",,,Stranded during rescue attempt,Steel,US,40,,,,,,,,,,,,"$30,000",,,,,,N,All info from Phil Evening Bulletin
Kelso,Antonina,Harry H Taylor,Motor vessel diesel,1927,"Damariscotta, ME",11/18/1968,1968,11,18,Hereford Inlet,38.98472,-74.76916,,,,,,,,,,,,,,,,,,,,A,Y,N,"#227040; Total loss; Formerly ""Antonina"""
Extrol II,,,Motor vessel gas,1964,,10/18/1967,1967,10,18,Atlantic City,,,Stranded,,,,,,18,,,,,,,,,,,,,Y,Y,N,#296571; Total loss
Mockingbird,,Bishop F Amory,Dragger,1936,"Thomaston, ME",4/28/1967,1967,4,28,Atlantic City E 75 mi,,,Foundered in heavy seas,Wood,,88.2,20.6,9.8,112,55,"Newport News, VA",,,Floyd Hanson,5,,0,,,,,Y,Y,N,#235748; sank; crew rescued by USCG
Red Baron,,,Yacht motor,,,7/2/1967,1967,7,2,Atlantic City E .25 mi,,,Burned,,US,,,,,,,,,,,4,0,,,None,USCG Atlantic City,Y,Y,N,Total loss
Wapello,,Iberian Tanker Co,Tanker steam,1953,"Chester, PA",12/12/1967,1967,12,12,Sandy Hook,,,Stranded,Steel,Panama,641,84.5,34.1,18772,11399,Panama,"Naples, Italy","Port Reading, NJ",,,,,,,40000 tons fuel oil,,N,N,N,Refloated after removing oil
Alva Cape,,Alva SS Co,Tanker,1953,"Greenock, Scotland",6/16/1966,1966,6,16,"Kill van Kull, NY",,,"Collision w/ ""Texaco Massachusetts""",Steel,England,546,69,30,11252,,"London, England",,"Kill van Kull, NY",,,,33,,,"143,000 bbls naptha",,Y,Y,N,Exploded; Later scuttled at sea
Bee Dee,,,Motor vessel,1958,"Pompano Beach, FL",7/12/1966,1966,7,12,Long Beach E,,,Foundered,Wood,,,,,17,12,"Philadelphia, PA",,Passenger service,,,,,,,,,,,N,#283148
Chelwood Beacon,,Medomsley,Tanker,1960,"Rotterdam, Neth",1/24/1966,1966,1,24,Sandy Hook Light E 2 mi,,,Stranded,Steel,England,665,89.45,33.95,21359,,,Venezuela,"New York, NY",Peter Jones,52,,0,,,"30,000 ton crude oil",,N,N,Y,Refloated
Compass Rose,,,Motor vessel gas,1964,,8/2/1966,1966,8,2,Atlantic Highlands E 5 mi,,,Burned,,,,,,17,,,,,,,,,,,,,,,N,#294379
Hermaline,,William A Marwald,Fishing boat diesel,1929,"Fernandina, FL",2/10/1966,1966,2,10,Cold Spring Harbor,38.93277,-74.85861,,,,,,,,,,,,,,,,,,,,A,Y,N,#233280; Total Loss
Kamikawa Maru,,Kawasaki Kisen KK,Freighter,1951,"Kobe, Japan",6/10/1966,1966,6,10,Ambrose Lightship,,,"Collision w/ ""Nordvind""",Steel,Japan,515,64,27.35,9632,5529,"Kobe, Japan",,"New York, NY",,,,0,,,,,N,N,N,Damaged; Repaired
Karnak,,,Sailboat,1896,,11/1/1966,1966,11,1,Surf City 12th Street,,,Grounded,,,50,,,,,,,,,3,,0,,,Illegal narcotics & cash,Barnegat Light,Y,Y,N,Total loss
Merry Widow,,,Fishing boat,,,1/26/1966,1966,1,26,Cape May E 9 mi,,,Foundered & leaking in storm,,,,,,,,Nova Scotia,,,,,,,,,,,N,N,N,Towed in
Miss Bilkay,,William G Koetenhaus,Motor vessel,1955,"Port Clinton, OH",11/28/1966,1966,11,28,Seaside Park E .5 mi,,,Filled w/ water in NE storm,Wood,US,42,11.1,3.4,,,"Belmar, NJ",,,James Gallicio,3,,0,"$40,000",,,,N,N,N,Towed to Brielle
Nordvind,,H Kuhnles Reden,Freighter,1961,"Bergen, Norway",6/10/1966,1966,6,10,Ambrose Lightship,,,"Collision w/ ""Kamikawa Maru""",,Norway,476.2,62.2,30.75,9556,,,,"New York, NY",,,,,,,,,N,N,N,Partial loss
Patricia Moran,,,Tug,,,1/12/1966,1966,1,12,"Kill van Kull, NY",,,"Collision w/ ""Morania Marlin""",,,108,,,,,,,,,,,4,,,,,,,N,
Pioneer Myth,,United States Line,Freighter,1954,"Pascagoula, MS",7/2/1966,1966,7,2,Atlantic City E 20 mi,,,"Collision w/ ""Visevica""",Steel,US,529.6,76.3,30.5,9214,5367,,"Charleston, SC","New York, NY",,,,0,,,,Atlantic City; Manasquan,N,N,N,Made New York for repairs
Susan Snow,,Borden Co,Fishing boat diesel,1949,"St Augustine, FL",3/26/1966,1966,3,26,Manasquan Inlet SSE 3 mi,,,Foundered,,,64.6,17.5,6,53,22,"Philadelphia, PA",,Fishing service,,,,,,,,,Y,Y,N,#259471; Total loss
Visevica,,Yugoslav Line,Freighter,1964,"Brodogradiliste, Yugoslavia",7/2/1966,1966,7,2,Atlantic City E 20 mi,,,"Collision w/ ""Pioneer Myth""",Steel,Yugoslavia,492.1,66,23.5,7759,,,"New York, NY","Norfolk, VA",,,,0,,,,Atlantic City; Manasquan,N,N,N,#6338; Partial loss; Made New York
E G Willard,,Chase & Thomas,Schooner,1859,"Cape Elizabeth, ME",8/30/1865,1965,8,30,Seven Mile Beach,,,Stranded,,,,,10,130,,"Portland, ME",,,,,,,,,Coal,,N,N,N,Refloated
Glad Tidings,,,Schooner - yacht,,,10/7/1965,1965,10,7,Island Beach,,,Stranded,,,45,,,,,,,,Lloyd Jenness,,,,"$8,000",,,USCG Cutter,N,N,N,Cutter & yacht were refloated
Green Island,Muncie Victory; Norma Spruce; Black Dragon; Tappan Zee,Central Gulf SS Co,Freighter steam,1945,"Richmond, CA",7/7/1965,1965,7,7,Ambrose Light SSE 1 mi,,,"Collision w/ ""Tetela""",,US,439.1,62.1,34.5,7608,4561,"New Orleans, LA",,,,,,,,,,,N,N,N,#247079; Slight damage; Returned to NY
Mabel Susan,,,Fishing trawler,,,10/4/1965,1965,10,4,Cape May S 18 mi,,,Disabled; In distress,,,,,,,,,,,,11,,0,,,,,N,N,N,Towed in
Sea Lady,,,Motor vessel,1935,,7/14/1965,1965,7,14,Deal Beach E 5 mi,,,Burned,,,,,,13,,,,,,,,,,,,,Y,Y,N,#238797; Total loss
Tetela,,"Surrey Shipping Co., Bermuda",Freighter,1960,"Bremen, Germany",7/7/1965,1965,7,7,Ambrose Light SSE 1 mi,,,"Collision w/ ""Green Island""",,England,451.3,59.5,26,6738,5875,,,"Wehawkin, NJ",,,,0,,,Refrigerated cargo,,N,N,N,Small fire; Made way to Wehawkin
Cleopatra (1964),Khedive; United Victory,United Arab Maritime Co,Steamship,1944,"Portland, OR",9/20/1964,1964,9,20,Sandy Hook,,,Grounded,,Liberia,455.2,62.1,28.6,8193,,"Alexandria, Egypt",,"New York, NY",,,,0,,,Construction steel,,N,N,N,Refloated
Flying Saucer,,,Tour boat,,,8/5/1964,1964,8,5,"Ocean City, NJ",,,Beached,,,85,,,,,,,,Chris Montagna,,85,0,,,,,N,N,N,Beached to save passengers; Refloated
Leon Walter,,Saffron Brothers,Fishing boat,1953,"St Augustine, FL",3/23/1964,1964,3,23,Manasquan Inlet E 8 mi,40.11166,-73.95055,"Collision w/ ""Hess Bunker""",Iron,,67.7,18.9,7.9,75,33,"Philadelphia, PA",,,Richard Proud,3,,0,,,,,A,Y,N,#266289; Total loss
Marlin,,,Party fishing boat,,,7/25/1964,1964,7,25,Cold Spring Inlet,,,Grounded on Jetty,,,41,,,,,,,,Haas,2,20,,,,,,Y,Y,N,Broke up; total loss
Shalom,,Zim Lines Israel,Passenger liner,1964,"St Nazaire, France",11/26/1964,1964,11,26,Asbury Park E 10 mi,39-54-00 N,73-40-00 W,"Collision w/ ""Stolt Dagali""",Steel,Israel,629,82,26.59,25338,,"Haifa, Israel","New York, NY",Caribbean cruise,Moshe Abromski,460,616,0,"$20,000,000",,,,N,N,N,Made way to New York after collision
Stolt Dagali,,A/S Ocean,Tanker,1955,"Copenhagen, Denmark",11/26/1964,1964,11,26,Asbury Park E 10 mi,40.11138,-73.67388,"Collision w/ ""Shalom"" in fog",Steel,Norway,582.7,70.1,30,12723,11150,"Oslo, Norway","Philadelphia, PA","Newark, NJ",Kristean Bandersen,43,,19,,,Solvents and vegetable oil,,A,Y,Y,#163398; Stern sank; Bow towed to NY
Transglobe,Marine Wolf,Hudson Waterways Corp,Steamship,1944,"Chester, PA",7/21/1964,1964,7,21,Ambrose Lightship SE 7 mi,,,"Collision w/ ""Tubingen""",,US,496.2,71.7,40,11278,,"New York, NY","New York, NY","Bremerhaven, Germany",,,,,,,,,N,N,N,#245983; Slight damage; Made way to NY
Tubingen,,Hamburg Amerika Line,Motor vessel,1955,"Hamburg, Germany",7/21/1964,1964,7,21,Ambrose Lightship SE 7 mi,,,"Collision w/ ""Transglobe""",,Germany,510.3,60.6,26.2,6342,,"Hamburg, Germany",,"New York, NY",,,,,,,,,N,N,N,Slight damage; Made way to NY
City of Perth,,Ellerman Lines,Steamship,1949,"Dundee, Scotland",5/7/1963,1963,5,7,Asbury Park E 5 mi,,,"Collision w/ ""Pinta""",Steel,England,485.4,62,28.1,7547,4407,"Glasgow, Scotland","New York, NY","Newport News, VA",,,,,,,,,N,N,N,#182127; Partial loss; Repaired in Hoboken
Duchess,,Samuel H Desch,Motor vessel,1962,"Egg Harbor City, NJ",5/3/1963,1963,5,3,Barnegat Light N 9 mi,,,Burned,,,34.1,12.4,5,18,14,"New York, NY",,,,,,,,,,,Y,Y,N,#285636; Total loss
Pinta,,Dammers & V D Heide,Freighter,1959,"Martenshoek, Denmark",5/7/1963,1963,5,7,Asbury Park E 5 mi,40.20833,-73.84000,"Collision w/ ""City of Perth""",Steel,Netherlands,194,31.6,12.9,500,284,"Rotterdam, Netherlands","Puerto Limon, Nicaragua","Port Newark, NJ",Arlie Korpelshoed,12,,0,,,Lumber,,A,Y,N,Total loss
Prescott,PCS-1423,William B McConnell,Minesweeper,1944,,2/12/1963,1963,2,12,Barnegat Inlet S 100 yards,,,Stranded,Wood,US,186,24.5,5.5,251,,,"Staten Island, NY","Atlantic City, NJ",,2,,0,,,"In tow by ""Sea King""",,N,N,Y,Refloated
Sea King (1963),,William B McConnell,Motor vessel,1943,"Bristol, RI",2/12/1963,1963,2,12,Barnegat Inlet S 100 yds,39.75401,-74.10351,Stranded,Wood,US,95.9,21.7,11.2,156,106,"Philadelphia, PA","Staten Island, NY","Atlantci City, NJ",Finer Gunnerson,2,,0,,,"Towing ""USS Prescott""",,A,Y,Y,#252651; Total loss
Thomas J Lanigan,,,Barge,1926,,1/1/1963,1963,1,1,Hudson River E Hoboken,,,Foundered,,,,,,333,,,,,,,,,,,,,,,N,
White Heron,,Parker Corp,Yacht,1940,"Riverside, RI",9/30/1963,1963,9,30,Cape May,,,"Collision w/ ""Domino Crystal""",Wood,,55,14.5,4,29,24,"Detroit, MI","Detroit, MI","Fort Lauderdale, FL",,2,,0,"$150,000",,,,Y,Y,N,#240178; Total loss
Angie and Irene,,William Pegler & Sons,Fishing boat,1957,"Moorehead City, NC",12/31/1962,1962,12,31,Cape May,,,Disabled in storm,Wood,,61.6,19.7,8.5,68,46,"Philadelphia, PA","Atlantic City, NJ",Fishing service,Harry Brown,3,,0,,,,USCG ,N,N,N,#273401; Towed in by USCG
Big Champ,,,Motor vessel diesel,,,9/17/1962,1962,9,17,"Surf City, NJ",,,Foundered,,,,,,13,,,,,,,,,,,,,Y,Y,N,#268279; Total loss
Cape May (1962),,,Pilot boat,,,10/6/1962,1962,10,6,Cape Henlopen,38.80277,-75.09027,,,,,,,,,,,,,,,,,,,,A,Y,N,
Hornet IV,,,Drillboat,,,1962,1962,,,Little Egg Harbor Inlet,39.42916,-74.23888,Foundered,,,,,,,,,,,,,,,,,,,A,,N,
Karina T,,Karina T Corp,Fishing boat,1954,"Beno, VA",3/8/1962,1962,3,8,Barnegat,,,Missing in gale,Wood,US,73.3,20.2,8.1,81,55,"Philadelphia, PA","Pt Pleasant, NJ",Fishing service,Carl Jergosen,7,,7,,,"15,000 lbs fish",,Y,Y,N,#268897; Found on Chincoteague Is Beach 3/11/1962
Lady Beatrice,,Henry Acarefora Jr,Yacht gas,1956,"Englewood, NJ",10/5/1962,1962,10,5,Sandy Hook,,,Burned,,,45.1,12.4,7.4,31,24,"New York, NY",,,,,,,,,,,Y,Y,N,#272558; Total loss
LCH-269,Quaker City,US Navy,Large Landing Craft,1943,"Barber, NJ",3/7/1962,1962,3,7,"ICW Atlantic City, NJ",39.37632,-74.45894,Stranded in storm,Steel,US,158.5,23.3,5.4,,,"Atlantic City, NJ",,,,0,,0,,,Troops landing on beach,,A,Y,Y,Served British landings in WWII
